Geography,Major field of,Highest certifi,Total - Sex,  Male,  Female
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Social and behavioural sciences and law,    University certificate or diploma below bachelor level,645,245,400
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Social and behavioural sciences and law,"    University certificate, diploma or degree at bachelor level or above",8085,3235,4850
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Business, management and public administration","Total - Highest certificate, diploma or degree",47775,11015,36760
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Business, management and public administration","  No certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Business, management and public administration",  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Business, management and public administration","  Postsecondary certificate, diploma or degree",47775,11015,36760
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Business, management and public administration",    Apprenticeship or trades certificate or diploma,4740,670,4070
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Business, management and public administration","    College, CEGEP or other non-university certificate or diploma",29995,4605,25400
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Business, management and public administration",    University certificate or diploma below bachelor level,2370,860,1510
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Business, management and public administration","    University certificate, diploma or degree at bachelor level or above",10665,4875,5790
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Physical and life sciences and technologies,"Total - Highest certificate, diploma or degree",5570,2925,2645
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Physical and life sciences and technologies,"  No certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Physical and life sciences and technologies,  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Physical and life sciences and technologies,"  Postsecondary certificate, diploma or degree",5575,2930,2650
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Physical and life sciences and technologies,    Apprenticeship or trades certificate or diploma,55,20,35
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Physical and life sciences and technologies,"    College, CEGEP or other non-university certificate or diploma",320,135,185
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Physical and life sciences and technologies,    University certificate or diploma below bachelor level,160,75,85
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Physical and life sciences and technologies,"    University certificate, diploma or degree at bachelor level or above",5040,2700,2340
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Mathematics, computer and information sciences","Total - Highest certificate, diploma or degree",8310,4250,4055
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Mathematics, computer and information sciences","  No certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Mathematics, computer and information sciences",  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Mathematics, computer and information sciences","  Postsecondary certificate, diploma or degree",8305,4255,4055
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Mathematics, computer and information sciences",    Apprenticeship or trades certificate or diploma,475,205,260
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Mathematics, computer and information sciences","    College, CEGEP or other non-university certificate or diploma",5665,2750,2915
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Mathematics, computer and information sciences",    University certificate or diploma below bachelor level,275,115,160
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Mathematics, computer and information sciences","    University certificate, diploma or degree at bachelor level or above",1900,1185,715
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Architecture, engineering, and related technologies","Total - Highest certificate, diploma or degree",61025,55930,5100
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Architecture, engineering, and related technologies","  No certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Architecture, engineering, and related technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Architecture, engineering, and related technologies","  Postsecondary certificate, diploma or degree",61030,55930,5095
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Architecture, engineering, and related technologies",    Apprenticeship or trades certificate or diploma,27925,26865,1060
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Architecture, engineering, and related technologies","    College, CEGEP or other non-university certificate or diploma",26210,23400,2815
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Architecture, engineering, and related technologies",    University certificate or diploma below bachelor level,1415,1210,205
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Architecture, engineering, and related technologies","    University certificate, diploma or degree at bachelor level or above",5480,4460,1020
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Agriculture, natural resources and conservation","Total - Highest certificate, diploma or degree",3630,2395,1235
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Agriculture, natural resources and conservation","  No certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Agriculture, natural resources and conservation",  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Agriculture, natural resources and conservation","  Postsecondary certificate, diploma or degree",3630,2395,1240
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Agriculture, natural resources and conservation",    Apprenticeship or trades certificate or diploma,430,315,115
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Agriculture, natural resources and conservation","    College, CEGEP or other non-university certificate or diploma",1855,1275,580
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Agriculture, natural resources and conservation",    University certificate or diploma below bachelor level,275,220,55
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Agriculture, natural resources and conservation","    University certificate, diploma or degree at bachelor level or above",1075,590,490
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Health and related fields,"Total - Highest certificate, diploma or degree",32275,5370,26905
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Health and related fields,"  No certificate, diploma or degree",0,0,0
