Geography,Major field of,Highest certifi,Total - Sex,  Male,  Female
Ontario,"  Agriculture, natural resources and conservation","    University certificate, diploma or degree at bachelor level or above",42685,23055,19625
Ontario,  Health and related fields,"Total - Highest certificate, diploma or degree",865965,173785,692185
Ontario,  Health and related fields,"  No certificate, diploma or degree",0,0,0
Ontario,  Health and related fields,  Secondary (high) school diploma or equivalency certificate,0,0,0
Ontario,  Health and related fields,"  Postsecondary certificate, diploma or degree",865970,173780,692185
Ontario,  Health and related fields,    Apprenticeship or trades certificate or diploma,51015,6390,44625
Ontario,  Health and related fields,"    College, CEGEP or other non-university certificate or diploma",453835,54695,399140
Ontario,  Health and related fields,    University certificate or diploma below bachelor level,37555,6075,31475
Ontario,  Health and related fields,"    University certificate, diploma or degree at bachelor level or above",323560,106615,216945
Ontario,"  Personal, protective and transportation services","Total - Highest certificate, diploma or degree",340285,170910,169370
Ontario,"  Personal, protective and transportation services","  No certificate, diploma or degree",0,0,0
Ontario,"  Personal, protective and transportation services",  Secondary (high) school diploma or equivalency certificate,0,0,0
Ontario,"  Personal, protective and transportation services","  Postsecondary certificate, diploma or degree",340280,170910,169370
Ontario,"  Personal, protective and transportation services",    Apprenticeship or trades certificate or diploma,142065,60320,81750
Ontario,"  Personal, protective and transportation services","    College, CEGEP or other non-university certificate or diploma",184145,100995,83155
Ontario,"  Personal, protective and transportation services",    University certificate or diploma below bachelor level,4030,3090,945
Ontario,"  Personal, protective and transportation services","    University certificate, diploma or degree at bachelor level or above",10040,6510,3530
Ontario,  Other fields of study,"Total - Highest certificate, diploma or degree",1405,255,1150
Ontario,  Other fields of study,"  No certificate, diploma or degree",0,0,0
Ontario,  Other fields of study,  Secondary (high) school diploma or equivalency certificate,0,0,0
Ontario,  Other fields of study,"  Postsecondary certificate, diploma or degree",1405,260,1150
Ontario,  Other fields of study,    Apprenticeship or trades certificate or diploma,25,10,15
Ontario,  Other fields of study,"    College, CEGEP or other non-university certificate or diploma",60,25,35
Ontario,  Other fields of study,    University certificate or diploma below bachelor level,45,15,35
Ontario,  Other fields of study,"    University certificate, diploma or degree at bachelor level or above",1275,210,1065
Manitoba,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"Total - Highest certificate, diploma or degree",1001305,491580,509725
Manitoba,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  No certificate, diploma or degree",220390,116565,103820
Manitoba,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,  Secondary (high) school diploma or equivalency certificate,296355,147040,149320
Manitoba,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  Postsecondary certificate, diploma or degree",484560,227975,256580
Manitoba,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    Apprenticeship or trades certificate or diploma,77005,54095,22915
Manitoba,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    College, CEGEP or other non-university certificate or diploma",177625,72785,104840
Manitoba,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    University certificate or diploma below bachelor level,28940,12075,16860
Manitoba,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    University certificate, diploma or degree at bachelor level or above",200990,89025,111970
Manitoba,  Education,"Total - Highest certificate, diploma or degree",44855,11710,33150
Manitoba,  Education,"  No certificate, diploma or degree",0,0,0
Manitoba,  Education,  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,  Education,"  Postsecondary certificate, diploma or degree",44855,11705,33150
Manitoba,  Education,    Apprenticeship or trades certificate or diploma,430,95,330
Manitoba,  Education,"    College, CEGEP or other non-university certificate or diploma",6140,925,5220
Manitoba,  Education,    University certificate or diploma below bachelor level,3875,460,3410
Manitoba,  Education,"    University certificate, diploma or degree at bachelor level or above",34405,10220,24185
Manitoba,"  Visual and performing arts, and communications technologies","Total - Highest certificate, diploma or degree",13170,6230,6940
Manitoba,"  Visual and performing arts, and communications technologies","  No certificate, diploma or degree",0,0,0
Manitoba,"  Visual and performing arts, and communications technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,"  Visual and performing arts, and communications technologies","  Postsecondary certificate, diploma or degree",13165,6230,6940
Manitoba,"  Visual and performing arts, and communications technologies",    Apprenticeship or trades certificate or diploma,1500,995,500
Manitoba,"  Visual and performing arts, and communications technologies","    College, CEGEP or other non-university certificate or diploma",5880,3120,2760
Manitoba,"  Visual and performing arts, and communications technologies",    University certificate or diploma below bachelor level,580,205,370
Manitoba,"  Visual and performing arts, and communications technologies","    University certificate, diploma or degree at bachelor level or above",5215,1905,3305
Manitoba,  Humanities,"Total - Highest certificate, diploma or degree",23030,9915,13110
Manitoba,  Humanities,"  No certificate, diploma or degree",0,0,0
Manitoba,  Humanities,  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,  Humanities,"  Postsecondary certificate, diploma or degree",23025,9920,13115
Manitoba,  Humanities,    Apprenticeship or trades certificate or diploma,240,100,145
Manitoba,  Humanities,"    College, CEGEP or other non-university certificate or diploma",3045,1305,1740
Manitoba,  Humanities,    University certificate or diploma below bachelor level,1180,545,635
Manitoba,  Humanities,"    University certificate, diploma or degree at bachelor level or above",18555,7965,10590
Manitoba,  Social and behavioural sciences and law,"Total - Highest certificate, diploma or degree",46555,15805,30750
Manitoba,  Social and behavioural sciences and law,"  No certificate, diploma or degree",0,0,0
Manitoba,  Social and behavioural sciences and law,  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,  Social and behavioural sciences and law,"  Postsecondary certificate, diploma or degree",46555,15805,30750
Manitoba,  Social and behavioural sciences and law,    Apprenticeship or trades certificate or diploma,1420,165,1255
Manitoba,  Social and behavioural sciences and law,"    College, CEGEP or other non-university certificate or diploma",12075,1895,10180
Manitoba,  Social and behavioural sciences and law,    University certificate or diploma below bachelor level,1625,580,1045
Manitoba,  Social and behavioural sciences and law,"    University certificate, diploma or degree at bachelor level or above",31435,13160,18270
Manitoba,"  Business, management and public administration","Total - Highest certificate, diploma or degree",95115,34865,60250
Manitoba,"  Business, management and public administration","  No certificate, diploma or degree",0,0,0
Manitoba,"  Business, management and public administration",  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,"  Business, management and public administration","  Postsecondary certificate, diploma or degree",95115,34865,60250
Manitoba,"  Business, management and public administration",    Apprenticeship or trades certificate or diploma,4260,1125,3130
Manitoba,"  Business, management and public administration","    College, CEGEP or other non-university certificate or diploma",47945,13855,34090
Manitoba,"  Business, management and public administration",    University certificate or diploma below bachelor level,8270,3300,4965
Manitoba,"  Business, management and public administration","    University certificate, diploma or degree at bachelor level or above",34640,16575,18065
Manitoba,  Physical and life sciences and technologies,"Total - Highest certificate, diploma or degree",16115,8170,7955
Manitoba,  Physical and life sciences and technologies,"  No certificate, diploma or degree",0,0,0
Manitoba,  Physical and life sciences and technologies,  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,  Physical and life sciences and technologies,"  Postsecondary certificate, diploma or degree",16115,8165,7950
Manitoba,  Physical and life sciences and technologies,    Apprenticeship or trades certificate or diploma,105,35,75
Manitoba,  Physical and life sciences and technologies,"    College, CEGEP or other non-university certificate or diploma",1535,585,950
Manitoba,  Physical and life sciences and technologies,    University certificate or diploma below bachelor level,520,250,270
Manitoba,  Physical and life sciences and technologies,"    University certificate, diploma or degree at bachelor level or above",13955,7300,6660
Manitoba,"  Mathematics, computer and information sciences","Total - Highest certificate, diploma or degree",18425,11380,7050
Manitoba,"  Mathematics, computer and information sciences","  No certificate, diploma or degree",0,0,0
Manitoba,"  Mathematics, computer and information sciences",  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,"  Mathematics, computer and information sciences","  Postsecondary certificate, diploma or degree",18430,11380,7045
Manitoba,"  Mathematics, computer and information sciences",    Apprenticeship or trades certificate or diploma,615,320,295
Manitoba,"  Mathematics, computer and information sciences","    College, CEGEP or other non-university certificate or diploma",8540,5245,3300
Manitoba,"  Mathematics, computer and information sciences",    University certificate or diploma below bachelor level,1080,655,425
Manitoba,"  Mathematics, computer and information sciences","    University certificate, diploma or degree at bachelor level or above",8185,5160,3025
Manitoba,"  Architecture, engineering, and related technologies","Total - Highest certificate, diploma or degree",96620,89275,7345
Manitoba,"  Architecture, engineering, and related technologies","  No certificate, diploma or degree",0,0,0
Manitoba,"  Architecture, engineering, and related technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,"  Architecture, engineering, and related technologies","  Postsecondary certificate, diploma or degree",96620,89275,7350
Manitoba,"  Architecture, engineering, and related technologies",    Apprenticeship or trades certificate or diploma,43680,42435,1245
Manitoba,"  Architecture, engineering, and related technologies","    College, CEGEP or other non-university certificate or diploma",34495,32040,2460
Manitoba,"  Architecture, engineering, and related technologies",    University certificate or diploma below bachelor level,2635,2285,350
Manitoba,"  Architecture, engineering, and related technologies","    University certificate, diploma or degree at bachelor level or above",15810,12515,3295
Manitoba,"  Agriculture, natural resources and conservation","Total - Highest certificate, diploma or degree",14540,10255,4280
Manitoba,"  Agriculture, natural resources and conservation","  No certificate, diploma or degree",0,0,0
Manitoba,"  Agriculture, natural resources and conservation",  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,"  Agriculture, natural resources and conservation","  Postsecondary certificate, diploma or degree",14540,10260,4275
Manitoba,"  Agriculture, natural resources and conservation",    Apprenticeship or trades certificate or diploma,1350,1025,325
Manitoba,"  Agriculture, natural resources and conservation","    College, CEGEP or other non-university certificate or diploma",3635,2630,1005
Manitoba,"  Agriculture, natural resources and conservation",    University certificate or diploma below bachelor level,3040,2615,425
Manitoba,"  Agriculture, natural resources and conservation","    University certificate, diploma or degree at bachelor level or above",6510,3985,2525
Manitoba,  Health and related fields,"Total - Highest certificate, diploma or degree",87800,16505,71290
Manitoba,  Health and related fields,"  No certificate, diploma or degree",0,0,0
Manitoba,  Health and related fields,  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,  Health and related fields,"  Postsecondary certificate, diploma or degree",87800,16505,71290
Manitoba,  Health and related fields,    Apprenticeship or trades certificate or diploma,7735,1095,6645
Manitoba,  Health and related fields,"    College, CEGEP or other non-university certificate or diploma",43450,5185,38270
Manitoba,  Health and related fields,    University certificate or diploma below bachelor level,5670,805,4865
Manitoba,  Health and related fields,"    University certificate, diploma or degree at bachelor level or above",30935,9425,21515
Manitoba,"  Personal, protective and transportation services","Total - Highest certificate, diploma or degree",28275,13845,14435
Manitoba,"  Personal, protective and transportation services","  No certificate, diploma or degree",0,0,0
Manitoba,"  Personal, protective and transportation services",  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,"  Personal, protective and transportation services","  Postsecondary certificate, diploma or degree",28275,13840,14435
Manitoba,"  Personal, protective and transportation services",    Apprenticeship or trades certificate or diploma,15660,6690,8970
Manitoba,"  Personal, protective and transportation services","    College, CEGEP or other non-university certificate or diploma",10860,6000,4855
Manitoba,"  Personal, protective and transportation services",    University certificate or diploma below bachelor level,445,360,85
Manitoba,"  Personal, protective and transportation services","    University certificate, diploma or degree at bachelor level or above",1315,790,525
Manitoba,  Other fields of study,"Total - Highest certificate, diploma or degree",65,25,30
Manitoba,  Other fields of study,"  No certificate, diploma or degree",0,0,0
Manitoba,  Other fields of study,  Secondary (high) school diploma or equivalency certificate,0,0,0
Manitoba,  Other fields of study,"  Postsecondary certificate, diploma or degree",60,30,35
Manitoba,  Other fields of study,    Apprenticeship or trades certificate or diploma,0,0,0
Manitoba,  Other fields of study,"    College, CEGEP or other non-university certificate or diploma",15,10,10
Manitoba,  Other fields of study,    University certificate or diploma below bachelor level,20,10,10
Manitoba,  Other fields of study,"    University certificate, diploma or degree at bachelor level or above",25,10,15
Saskatchewan,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"Total - Highest certificate, diploma or degree",857300,424265,433035
Saskatchewan,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  No certificate, diploma or degree",177210,96680,80530
Saskatchewan,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,  Secondary (high) school diploma or equivalency certificate,261205,133730,127475
Saskatchewan,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  Postsecondary certificate, diploma or degree",418880,193855,225025
Saskatchewan,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    Apprenticeship or trades certificate or diploma,89440,64100,25340
Saskatchewan,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    College, CEGEP or other non-university certificate or diploma",146770,51240,95530
Saskatchewan,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    University certificate or diploma below bachelor level,28195,10790,17410
Saskatchewan,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    University certificate, diploma or degree at bachelor level or above",154475,67730,86750
Saskatchewan,  Education,"Total - Highest certificate, diploma or degree",40990,10635,30355
Saskatchewan,  Education,"  No certificate, diploma or degree",0,0,0
Saskatchewan,  Education,  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,  Education,"  Postsecondary certificate, diploma or degree",40990,10635,30355
Saskatchewan,  Education,    Apprenticeship or trades certificate or diploma,505,115,395
Saskatchewan,  Education,"    College, CEGEP or other non-university certificate or diploma",4155,455,3700
Saskatchewan,  Education,    University certificate or diploma below bachelor level,4650,640,4005
Saskatchewan,  Education,"    University certificate, diploma or degree at bachelor level or above",31675,9425,22250
Saskatchewan,"  Visual and performing arts, and communications technologies","Total - Highest certificate, diploma or degree",8865,4150,4720
Saskatchewan,"  Visual and performing arts, and communications technologies","  No certificate, diploma or degree",0,0,0
Saskatchewan,"  Visual and performing arts, and communications technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,"  Visual and performing arts, and communications technologies","  Postsecondary certificate, diploma or degree",8870,4150,4720
Saskatchewan,"  Visual and performing arts, and communications technologies",    Apprenticeship or trades certificate or diploma,1040,670,375
Saskatchewan,"  Visual and performing arts, and communications technologies","    College, CEGEP or other non-university certificate or diploma",4110,2030,2080
Saskatchewan,"  Visual and performing arts, and communications technologies",    University certificate or diploma below bachelor level,500,180,320
Saskatchewan,"  Visual and performing arts, and communications technologies","    University certificate, diploma or degree at bachelor level or above",3215,1270,1950
Saskatchewan,  Humanities,"Total - Highest certificate, diploma or degree",15405,6905,8495
Saskatchewan,  Humanities,"  No certificate, diploma or degree",0,0,0
Saskatchewan,  Humanities,  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,  Humanities,"  Postsecondary certificate, diploma or degree",15400,6905,8495
Saskatchewan,  Humanities,    Apprenticeship or trades certificate or diploma,105,45,65
Saskatchewan,  Humanities,"    College, CEGEP or other non-university certificate or diploma",3130,1375,1755
Saskatchewan,  Humanities,    University certificate or diploma below bachelor level,975,385,590
Saskatchewan,  Humanities,"    University certificate, diploma or degree at bachelor level or above",11190,5100,6090
Saskatchewan,  Social and behavioural sciences and law,"Total - Highest certificate, diploma or degree",30495,10015,20480
Saskatchewan,  Social and behavioural sciences and law,"  No certificate, diploma or degree",0,0,0
Saskatchewan,  Social and behavioural sciences and law,  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,  Social and behavioural sciences and law,"  Postsecondary certificate, diploma or degree",30495,10015,20480
Saskatchewan,  Social and behavioural sciences and law,    Apprenticeship or trades certificate or diploma,1050,80,970
Saskatchewan,  Social and behavioural sciences and law,"    College, CEGEP or other non-university certificate or diploma",7860,1055,6805
Saskatchewan,  Social and behavioural sciences and law,    University certificate or diploma below bachelor level,1375,540,835
Saskatchewan,  Social and behavioural sciences and law,"    University certificate, diploma or degree at bachelor level or above",20215,8340,11875
Saskatchewan,"  Business, management and public administration","Total - Highest certificate, diploma or degree",85795,25105,60690
Saskatchewan,"  Business, management and public administration","  No certificate, diploma or degree",0,0,0
Saskatchewan,"  Business, management and public administration",  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,"  Business, management and public administration","  Postsecondary certificate, diploma or degree",85800,25105,60695
Saskatchewan,"  Business, management and public administration",    Apprenticeship or trades certificate or diploma,5670,1125,4550
Saskatchewan,"  Business, management and public administration","    College, CEGEP or other non-university certificate or diploma",42325,8150,34185
Saskatchewan,"  Business, management and public administration",    University certificate or diploma below bachelor level,8960,3050,5910
Saskatchewan,"  Business, management and public administration","    University certificate, diploma or degree at bachelor level or above",28840,12785,16060
Saskatchewan,  Physical and life sciences and technologies,"Total - Highest certificate, diploma or degree",11455,5905,5550
Saskatchewan,  Physical and life sciences and technologies,"  No certificate, diploma or degree",0,0,0
Saskatchewan,  Physical and life sciences and technologies,  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,  Physical and life sciences and technologies,"  Postsecondary certificate, diploma or degree",11455,5905,5545
Saskatchewan,  Physical and life sciences and technologies,    Apprenticeship or trades certificate or diploma,200,115,90
Saskatchewan,  Physical and life sciences and technologies,"    College, CEGEP or other non-university certificate or diploma",1410,535,875
Saskatchewan,  Physical and life sciences and technologies,    University certificate or diploma below bachelor level,490,210,275
Saskatchewan,  Physical and life sciences and technologies,"    University certificate, diploma or degree at bachelor level or above",9355,5045,4315
Saskatchewan,"  Mathematics, computer and information sciences","Total - Highest certificate, diploma or degree",11695,7040,4655
Saskatchewan,"  Mathematics, computer and information sciences","  No certificate, diploma or degree",0,0,0
Saskatchewan,"  Mathematics, computer and information sciences",  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,"  Mathematics, computer and information sciences","  Postsecondary certificate, diploma or degree",11700,7040,4655
Saskatchewan,"  Mathematics, computer and information sciences",    Apprenticeship or trades certificate or diploma,445,235,210
Saskatchewan,"  Mathematics, computer and information sciences","    College, CEGEP or other non-university certificate or diploma",5150,2845,2305
Saskatchewan,"  Mathematics, computer and information sciences",    University certificate or diploma below bachelor level,725,410,310
Saskatchewan,"  Mathematics, computer and information sciences","    University certificate, diploma or degree at bachelor level or above",5380,3550,1830
Saskatchewan,"  Architecture, engineering, and related technologies","Total - Highest certificate, diploma or degree",93145,86660,6485
Saskatchewan,"  Architecture, engineering, and related technologies","  No certificate, diploma or degree",0,0,0
Saskatchewan,"  Architecture, engineering, and related technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,"  Architecture, engineering, and related technologies","  Postsecondary certificate, diploma or degree",93145,86660,6480
Saskatchewan,"  Architecture, engineering, and related technologies",    Apprenticeship or trades certificate or diploma,53100,51460,1645
Saskatchewan,"  Architecture, engineering, and related technologies","    College, CEGEP or other non-university certificate or diploma",25080,22785,2295
Saskatchewan,"  Architecture, engineering, and related technologies",    University certificate or diploma below bachelor level,2020,1790,225
Saskatchewan,"  Architecture, engineering, and related technologies","    University certificate, diploma or degree at bachelor level or above",12945,10625,2320
Saskatchewan,"  Agriculture, natural resources and conservation","Total - Highest certificate, diploma or degree",16660,12045,4620
Saskatchewan,"  Agriculture, natural resources and conservation","  No certificate, diploma or degree",0,0,0
Saskatchewan,"  Agriculture, natural resources and conservation",  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,"  Agriculture, natural resources and conservation","  Postsecondary certificate, diploma or degree",16660,12040,4615
Saskatchewan,"  Agriculture, natural resources and conservation",    Apprenticeship or trades certificate or diploma,2250,1830,415
Saskatchewan,"  Agriculture, natural resources and conservation","    College, CEGEP or other non-university certificate or diploma",4905,3550,1355
Saskatchewan,"  Agriculture, natural resources and conservation",    University certificate or diploma below bachelor level,3030,2520,505
Saskatchewan,"  Agriculture, natural resources and conservation","    University certificate, diploma or degree at bachelor level or above",6480,4135,2340
Saskatchewan,  Health and related fields,"Total - Highest certificate, diploma or degree",74745,12215,62530
Saskatchewan,  Health and related fields,"  No certificate, diploma or degree",0,0,0
Saskatchewan,  Health and related fields,  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,  Health and related fields,"  Postsecondary certificate, diploma or degree",74750,12215,62535
Saskatchewan,  Health and related fields,    Apprenticeship or trades certificate or diploma,6760,815,5945
Saskatchewan,  Health and related fields,"    College, CEGEP or other non-university certificate or diploma",38310,3635,34680
Saskatchewan,  Health and related fields,    University certificate or diploma below bachelor level,5060,730,4330
Saskatchewan,  Health and related fields,"    University certificate, diploma or degree at bachelor level or above",24620,7040,17580
Saskatchewan,"  Personal, protective and transportation services","Total - Highest certificate, diploma or degree",29585,13165,16420
Saskatchewan,"  Personal, protective and transportation services","  No certificate, diploma or degree",0,0,0
Saskatchewan,"  Personal, protective and transportation services",  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,"  Personal, protective and transportation services","  Postsecondary certificate, diploma or degree",29580,13165,16420
Saskatchewan,"  Personal, protective and transportation services",    Apprenticeship or trades certificate or diploma,18310,7620,10695
Saskatchewan,"  Personal, protective and transportation services","    College, CEGEP or other non-university certificate or diploma",10330,4825,5510
Saskatchewan,"  Personal, protective and transportation services",    University certificate or diploma below bachelor level,415,325,95
Saskatchewan,"  Personal, protective and transportation services","    University certificate, diploma or degree at bachelor level or above",520,390,130
Saskatchewan,  Other fields of study,"Total - Highest certificate, diploma or degree",40,15,20
Saskatchewan,  Other fields of study,"  No certificate, diploma or degree",0,0,0
Saskatchewan,  Other fields of study,  Secondary (high) school diploma or equivalency certificate,0,0,0
Saskatchewan,  Other fields of study,"  Postsecondary certificate, diploma or degree",40,20,25
Saskatchewan,  Other fields of study,    Apprenticeship or trades certificate or diploma,10,10,0
Saskatchewan,  Other fields of study,"    College, CEGEP or other non-university certificate or diploma",0,0,0
Saskatchewan,  Other fields of study,    University certificate or diploma below bachelor level,0,0,0
Saskatchewan,  Other fields of study,"    University certificate, diploma or degree at bachelor level or above",35,15,15
Alberta,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"Total - Highest certificate, diploma or degree",3206045,1602810,1603235
Alberta,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  No certificate, diploma or degree",540665,284020,256645
Alberta,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,  Secondary (high) school diploma or equivalency certificate,895885,440660,455220
Alberta,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  Postsecondary certificate, diploma or degree",1769500,878130,891370
Alberta,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    Apprenticeship or trades certificate or diploma,309465,242160,67305
Alberta,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    College, CEGEP or other non-university certificate or diploma",615485,250590,364895
Alberta,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    University certificate or diploma below bachelor level,94620,36870,57750
Alberta,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    University certificate, diploma or degree at bachelor level or above",749935,348510,401425
Alberta,  Education,"Total - Highest certificate, diploma or degree",121925,29000,92930
Alberta,  Education,"  No certificate, diploma or degree",0,0,0
Alberta,  Education,  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,  Education,"  Postsecondary certificate, diploma or degree",121925,28995,92930
Alberta,  Education,    Apprenticeship or trades certificate or diploma,850,240,610
Alberta,  Education,"    College, CEGEP or other non-university certificate or diploma",11725,1140,10585
Alberta,  Education,    University certificate or diploma below bachelor level,8495,1140,7360
Alberta,  Education,"    University certificate, diploma or degree at bachelor level or above",100855,26480,74380
Alberta,"  Visual and performing arts, and communications technologies","Total - Highest certificate, diploma or degree",49665,20955,28705
Alberta,"  Visual and performing arts, and communications technologies","  No certificate, diploma or degree",0,0,0
Alberta,"  Visual and performing arts, and communications technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,"  Visual and performing arts, and communications technologies","  Postsecondary certificate, diploma or degree",49665,20960,28705
Alberta,"  Visual and performing arts, and communications technologies",    Apprenticeship or trades certificate or diploma,4215,2760,1455
Alberta,"  Visual and performing arts, and communications technologies","    College, CEGEP or other non-university certificate or diploma",24080,11010,13065
Alberta,"  Visual and performing arts, and communications technologies",    University certificate or diploma below bachelor level,3710,1310,2400
Alberta,"  Visual and performing arts, and communications technologies","    University certificate, diploma or degree at bachelor level or above",17660,5880,11780
Alberta,  Humanities,"Total - Highest certificate, diploma or degree",69305,27475,41830
Alberta,  Humanities,"  No certificate, diploma or degree",0,0,0
Alberta,  Humanities,  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,  Humanities,"  Postsecondary certificate, diploma or degree",69305,27475,41830
Alberta,  Humanities,    Apprenticeship or trades certificate or diploma,700,340,365
Alberta,  Humanities,"    College, CEGEP or other non-university certificate or diploma",11625,4590,7035
Alberta,  Humanities,    University certificate or diploma below bachelor level,3870,1335,2535
Alberta,  Humanities,"    University certificate, diploma or degree at bachelor level or above",53115,21210,31900
Alberta,  Social and behavioural sciences and law,"Total - Highest certificate, diploma or degree",159730,51700,108025
Alberta,  Social and behavioural sciences and law,"  No certificate, diploma or degree",0,0,0
Alberta,  Social and behavioural sciences and law,  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,  Social and behavioural sciences and law,"  Postsecondary certificate, diploma or degree",159730,51705,108025
Alberta,  Social and behavioural sciences and law,    Apprenticeship or trades certificate or diploma,3135,325,2810
Alberta,  Social and behavioural sciences and law,"    College, CEGEP or other non-university certificate or diploma",43305,7195,36110
Alberta,  Social and behavioural sciences and law,    University certificate or diploma below bachelor level,6995,2465,4530
Alberta,  Social and behavioural sciences and law,"    University certificate, diploma or degree at bachelor level or above",106295,41715,64580
Alberta,"  Business, management and public administration","Total - Highest certificate, diploma or degree",361530,133045,228490
Alberta,"  Business, management and public administration","  No certificate, diploma or degree",0,0,0
Alberta,"  Business, management and public administration",  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,"  Business, management and public administration","  Postsecondary certificate, diploma or degree",361535,133045,228485
Alberta,"  Business, management and public administration",    Apprenticeship or trades certificate or diploma,12510,3390,9120
Alberta,"  Business, management and public administration","    College, CEGEP or other non-university certificate or diploma",172815,44265,128550
Alberta,"  Business, management and public administration",    University certificate or diploma below bachelor level,27610,10255,17360
Alberta,"  Business, management and public administration","    University certificate, diploma or degree at bachelor level or above",148600,75140,73460
Alberta,  Physical and life sciences and technologies,"Total - Highest certificate, diploma or degree",72845,38325,34525
Alberta,  Physical and life sciences and technologies,"  No certificate, diploma or degree",0,0,0
Alberta,  Physical and life sciences and technologies,  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,  Physical and life sciences and technologies,"  Postsecondary certificate, diploma or degree",72850,38330,34525
Alberta,  Physical and life sciences and technologies,    Apprenticeship or trades certificate or diploma,655,450,205
Alberta,  Physical and life sciences and technologies,"    College, CEGEP or other non-university certificate or diploma",8440,3870,4570
Alberta,  Physical and life sciences and technologies,    University certificate or diploma below bachelor level,2350,1205,1145
Alberta,  Physical and life sciences and technologies,"    University certificate, diploma or degree at bachelor level or above",61410,32805,28605
Alberta,"  Mathematics, computer and information sciences","Total - Highest certificate, diploma or degree",60830,37710,23115
Alberta,"  Mathematics, computer and information sciences","  No certificate, diploma or degree",0,0,0
Alberta,"  Mathematics, computer and information sciences",  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,"  Mathematics, computer and information sciences","  Postsecondary certificate, diploma or degree",60830,37715,23120
Alberta,"  Mathematics, computer and information sciences",    Apprenticeship or trades certificate or diploma,1460,850,610
Alberta,"  Mathematics, computer and information sciences","    College, CEGEP or other non-university certificate or diploma",24435,14925,9510
Alberta,"  Mathematics, computer and information sciences",    University certificate or diploma below bachelor level,3665,2170,1495
Alberta,"  Mathematics, computer and information sciences","    University certificate, diploma or degree at bachelor level or above",31275,19770,11510
Alberta,"  Architecture, engineering, and related technologies","Total - Highest certificate, diploma or degree",463185,415665,47520
Alberta,"  Architecture, engineering, and related technologies","  No certificate, diploma or degree",0,0,0
Alberta,"  Architecture, engineering, and related technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,"  Architecture, engineering, and related technologies","  Postsecondary certificate, diploma or degree",463185,415665,47520
Alberta,"  Architecture, engineering, and related technologies",    Apprenticeship or trades certificate or diploma,212960,205540,7420
